CUST_ID,gender,DateOfBirth,State,Contact,Segment,customer_age,claim_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,StateName,Region,SubRegion
88544496,Female,16-May-75,VT,872-963-2459,Gold,44,64240245,Other causes,03/21/2018,Auto,Yes,Material only,$2810,3,No,Vermont,NorthEast,New England
75884493,Female,27-Jul-69,VT,196-435-7259,Gold,50,3110549,Other driver error,09/06/2018,Auto,Yes,Material and injury,$35310,6,No,Vermont,NorthEast,New England
7703371,Female,07-Feb-97,VT,418-179-2358,Gold,22,59393861,Natural causes,03/09/2017,Auto,No,Material only,$1350,1,No,Vermont,NorthEast,New England
9897266,Female,30-May-74,VT,768-896-9716,Gold,45,4802134,Other causes,06/25/2017,Auto,Yes,Injury only,$27350,1,No,Vermont,NorthEast,New England
57267299,Male,11-Feb-70,VT,128-576-3825,Silver,49,365998,Other driver error,12/03/2017,Auto,Yes,Material and injury,$25140,2,No,Vermont,NorthEast,New England
75740424,Female,13-Jan-70,ME,265-543-1264,Silver,49,33985796,Crime,10/03/2018,Home,Unknown,Material only,$2980,3,No,Maine,NorthEast,New England
63240241,Male,26-Jul-77,ME,843-379-4796,Silver,42,35489765,Natural causes,10/03/2018,Auto,No,Material only,$2870,1,No,Maine,NorthEast,New England
84571128,Female,16-Aug-95,ME,946-639-5932,Gold,24,96749077,Natural causes,05/15/2017,Auto,No,Material only,$2702.5,1,Yes,Maine,NorthEast,New England
37741743,Female,16-Jul-82,ME,327-256-9257,Gold,37,13774284,Natural causes,03/08/2018,Auto,No,Material only,$1350,1,No,Maine,NorthEast,New England
25823839,Male,27-Dec-71,ME,678-925-6195,Silver,47,18636027,Driver error,10/10/2017,Auto,Unknown,Injury only,$36180,1,No,Maine,NorthEast,New England
32850276,Male,29-Oct-63,ME,893-673-8192,Platinum,55,24499353,Natural causes,10/09/2018,Home,No,Material only,$1580,1,No,Maine,NorthEast,New England
90718924,Male,30-Sep-70,ME,185-286-2134,Silver,49,97233183,Other causes,01/21/2017,Home,No,Material and injury,$27560,1,No,Maine,NorthEast,New England
86597605,Female,21-Apr-62,ME,794-584-3826,Gold,57,79350008,Driver error,09/27/2017,Auto,No,Material and injury,$37400,1,No,Maine,NorthEast,New England
93915431,Male,08-Sep-67,ME,134-785-1687,Gold,52,99775483,Other causes,10/30/2018,Auto,No,Material and injury,$42124.5,1,Yes,Maine,NorthEast,New England
36994344,Male,16-Dec-75,ME,673-618-4586,Silver,43,71517851,Natural causes,07/27/2018,Auto,No,Material only,$2280,1,No,Maine,NorthEast,New England
86916099,Female,15-Mar-69,ME,386-156-9384,Gold,50,59959117,Other driver error,04/05/2017,Auto,No,Injury only,$19390,1,No,Maine,NorthEast,New England
36126424,Female,11-Feb-81,ME,398-768-5283,Platinum,38,5222877,Driver error,10/23/2018,Auto,Unknown,Material and injury,$20550,1,No,Maine,NorthEast,New England
18842829,Male,10-Sep-69,ME,561-158-4657,Platinum,50,79446773,Driver error,03/02/2017,Auto,No,Material only,$2450,1,No,Maine,NorthEast,New England
59793026,Male,09-Dec-66,ME,231-719-3629,Gold,52,76745084,Other driver error,09/07/2017,Auto,Yes,Material and injury,$40210,1,No,Maine,NorthEast,New England
32521691,Female,07-Jan-86,ME,326-536-6253,Platinum,33,92089192,Driver error,10/16/2018,Auto,No,Material only,$2320,4,No,Maine,NorthEast,New England
92392817,Female,09-Feb-88,ME,269-614-8632,Gold,31,63627029,Other driver error,12/24/2017,Auto,Unknown,Material only,$2081.5,1,Yes,Maine,NorthEast,New England
7303971,Male,12-Mar-92,ME,691-856-6412,Silver,27,65990431,Natural causes,06/03/2018,Auto,No,Material only,$1170,1,No,Maine,NorthEast,New England
64214079,Male,26-Feb-81,ME,579-765-9642,Gold,38,55084633,Other causes,06/18/2017,Auto,Yes,Material and injury,$30230,1,No,Maine,NorthEast,New England
87092211,Male,20-Jun-80,ME,128-398-1894,Silver,39,62249925,Driver error,10/09/2018,Auto,No,Material only,$2340,1,No,Maine,NorthEast,New England
30831279,Male,28-May-84,ME,516-973-5972,Silver,35,68461060,Other causes,01/27/2017,Auto,Yes,Injury only,$20720,1,No,Maine,NorthEast,New England
82028774,Male,05-Jul-60,ME,935-874-7328,Platinum,59,68733687,Driver error,03/29/2017,Auto,Unknown,Material and injury,$38065,4,Yes,Maine,NorthEast,New England
24310699,Male,21-Nov-81,ME,857-617-2867,Platinum,37,48386154,Natural causes,01/26/2018,Auto,Unknown,Material only,$1210,1,No,Maine,NorthEast,New England
17690710,Male,03-Mar-73,ME,693-739-2369,Silver,46,3271117,Crime,07/28/2017,Auto,Yes,Injury only,$32180,1,No,Maine,NorthEast,New England
34953203,Female,09-May-97,ME,728-597-3415,Platinum,22,43489145,Other driver error,02/23/2017,Auto,Yes,Injury only,$19400,1,No,Maine,NorthEast,New England
83499843,Male,03-Dec-88,ME,276-859-1849,Silver,30,85222695,Driver error,12/17/2017,Auto,No,Material and injury,$18135.5,1,Yes,Maine,NorthEast,New England
56098966,Female,23-Mar-67,ME,456-658-1623,Gold,52,11581354,Driver error,02/09/2018,Auto,No,Material only,$2360,3,No,Maine,NorthEast,New England
50460892,Male,06-May-61,ME,657-645-1346,Gold,58,57389964,Other driver error,02/15/2018,Auto,No,Injury only,$31740,2,No,Maine,NorthEast,New England
75934330,Female,09-Oct-87,ME,951-941-3975,Platinum,31,56358443,Natural causes,01/01/2017,Auto,Yes,Injury only,$20630,1,No,Maine,NorthEast,New England
30308357,Female,11-Mar-84,TN,798-631-4758,Silver,35,53522022,Other driver error,02/02/2018,Auto,No,Material only,$3369.5,1,Yes,Tennessee,South,East South Central
30308357,Female,11-Mar-84,TN,798-631-4758,Silver,35,63017412,Driver error,04/04/2018,Auto,No,Material only,$1950,6,No,Tennessee,South,East South Central
91786228,Female,26-Dec-63,TN,826-243-9763,Gold,55,25108581,Other driver error,06/23/2018,Auto,No,Material only,$1150,1,Yes,Tennessee,South,East South Central
77436411,Female,06-May-64,TN,679-324-1357,Platinum,55,37727681,Other driver error,02/02/2018,Auto,Unknown,Material only,$3358,4,Yes,Tennessee,South,East South Central
53798973,Female,19-Nov-80,TN,732-893-6125,Silver,38,58103215,Other driver error,05/01/2018,Auto,No,Material only,$2560,1,No,Tennessee,South,East South Central
67722830,Male,30-Nov-73,TN,674-654-7168,Platinum,45,25246596,Driver error,08/04/2017,Auto,No,Material only,$1529.5,3,Yes,Tennessee,South,East South Central
84229777,Female,18-Mar-76,TN,728-184-5376,Platinum,43,56133273,Natural causes,08/11/2017,Auto,No,Material only,$3128,1,Yes,Tennessee,South,East South Central
55105629,Male,06-Feb-81,TN,516-198-5127,Silver,38,40350951,Natural causes,10/17/2017,Auto,No,Material only,$1860,1,No,Tennessee,South,East South Central
16444738,Female,18-Feb-90,TN,298-376-5293,Platinum,29,61900903,Other causes,08/31/2017,Auto,No,Material only,$1207.5,1,Yes,Tennessee,South,East South Central
47535244,Female,16-Sep-61,TN,413-134-6842,Gold,58,3366766,Natural causes,06/10/2018,Auto,No,Material only,$2530,1,Yes,Tennessee,South,East South Central
95002919,Male,15-Apr-64,TN,128-196-6753,Platinum,55,21915563,Natural causes,06/30/2018,Home,No,Material and injury,$31110,1,No,Tennessee,South,East South Central
11472207,Male,19-Apr-61,TN,217-817-4251,Gold,58,75847149,Natural causes,12/30/2017,Auto,Unknown,Material and injury,$44367,1,Yes,Tennessee,South,East South Central
97856694,Female,14-Nov-91,TN,639-694-8245,Gold,27,1624094,Natural causes,03/02/2017,Auto,Unknown,Material only,$2392,1,Yes,Tennessee,South,East South Central
39444603,Female,12-Apr-69,TN,431-425-7815,Platinum,50,28708429,Driver error,12/03/2017,Auto,No,Material only,$2320,1,No,Tennessee,South,East South Central
34778857,Male,10-Aug-75,TN,643-645-8493,Gold,44,56413364,Driver error,04/25/2017,Auto,Unknown,Material and injury,$30015,1,Yes,Tennessee,South,East South Central
92189083,Male,07-May-64,TN,935-642-8416,Gold,55,96864459,Natural causes,05/28/2018,Auto,Yes,Injury only,$19960,4,No,Tennessee,South,East South Central
8609975,Male,27-Dec-67,TN,142-326-1568,Platinum,51,51408016,Natural causes,02/10/2017,Auto,No,Material only,$2890,1,No,Tennessee,South,East South Central
14712345,Male,05-Dec-92,TN,527-732-1987,Silver,26,23669610,Natural causes,01/20/2018,Auto,Unknown,Material only,$1630,1,No,Tennessee,South,East South Central
62960540,Male,29-Jul-88,TN,159-976-1642,Silver,31,37713174,Other causes,06/03/2018,Auto,No,Injury only,$34390,4,No,Tennessee,South,East South Central
20299691,Male,04-Jul-88,TN,375-958-4571,Platinum,31,90831325,Natural causes,10/04/2017,Auto,No,Material only,$2093,5,Yes,Tennessee,South,East South Central
28590552,Female,10-Jan-64,TN,189-813-7561,Silver,55,26678377,Other causes,10/23/2018,Auto,Unknown,Material and injury,$25160,1,No,Tennessee,South,East South Central
9130038,Female,22-Nov-64,TN,382-247-4267,Silver,54,51587897,Natural causes,08/31/2017,Auto,No,Material only,$3128,1,Yes,Tennessee,South,East South Central
42664554,Female,13-Aug-93,TN,396-973-2531,Gold,26,42280334,Other causes,01/01/2017,Auto,No,Injury only,$27670,1,No,Tennessee,South,East South Central
35593972,Male,09-Dec-79,TN,854-195-3892,Gold,39,84040371,Other causes,02/09/2018,Home,No,Material only,$1530,1,No,Tennessee,South,East South Central
53042145,Female,04-Oct-64,TN,139-746-7128,Platinum,55,9261301,Other causes,10/23/2018,Auto,Unknown,Material only,$2553,4,Yes,Tennessee,South,East South Central
27598176,Female,29-Jan-65,TN,436-192-5639,Platinum,54,22032611,Driver error,01/13/2018,Auto,No,Material and injury,$48035.5,1,Yes,Tennessee,South,East South Central
90217818,Female,18-May-80,TN,891-651-8671,Gold,39,85546357,Other driver error,06/04/2017,Auto,No,Injury only,$37743,1,Yes,Tennessee,South,East South Central
47830476,Female,01-May-86,MA,413-187-7945,Silver,33,13015401,Natural causes,06/17/2018,Auto,No,Material only,$1680,1,No,Massachusetts,NorthEast,New England
47830476,Female,01-May-86,MA,413-187-7945,Silver,33,91609100,Natural causes,04/12/2017,Auto,Unknown,Material only,$1440,1,No,Massachusetts,NorthEast,New England
31012778,Female,09-Jun-93,MA,328-683-8359,Gold,26,28636278,Other causes,03/01/2018,Auto,No,Material only,$2530,5,Yes,Massachusetts,NorthEast,New England
62797342,Male,01-May-89,MA,348-186-6349,Gold,30,23504103,Other driver error,02/09/2018,Auto,Unknown,Material and injury,$20360,1,No,Massachusetts,NorthEast,New England
83526368,Female,16-Mar-79,MA,468-698-7189,Platinum,40,50826770,Crime,10/03/2018,Auto,Unknown,Material only,$1850,3,No,Massachusetts,NorthEast,New England
61745840,Female,24-Jul-94,MA,612-684-5472,Platinum,25,90591192,Other driver error,01/01/2017,Home,No,Material and injury,$30930,1,No,Massachusetts,NorthEast,New England
33924586,Female,28-Mar-76,MA,187-187-9648,Silver,43,29981557,Natural causes,04/04/2018,Auto,Unknown,Material and injury,$28750,1,No,Massachusetts,NorthEast,New England
52265112,Female,21-Aug-87,MA,251-361-5218,Gold,32,51316495,Other driver error,06/11/2017,Auto,No,Material only,$1520,2,No,Massachusetts,NorthEast,New England
53900680,Male,06-Mar-99,MA,591-168-3457,Silver,20,68533229,Other causes,03/29/2017,Home,Yes,Material and injury,$33900,2,No,Massachusetts,NorthEast,New England
72734097,Male,16-Mar-60,MA,392-741-5178,Gold,59,18696192,Driver error,07/01/2017,Auto,Yes,Material and injury,$34590,1,No,Massachusetts,NorthEast,New England
94707309,Female,04-Jun-88,MA,835-123-6381,Gold,31,27981652,Crime,02/17/2017,Auto,No,Material only,$1870,3,No,Massachusetts,NorthEast,New England
30154531,Male,16-Nov-74,MA,482-654-2465,Platinum,44,12379231,Other causes,10/04/2017,Auto,No,Material only,$3013,1,Yes,Massachusetts,NorthEast,New England
38117638,Female,04-Jun-92,MA,175-527-2541,Silver,27,47755129,Other driver error,02/03/2017,Auto,No,Material only,$2060,1,No,Massachusetts,NorthEast,New England
20028241,Male,19-Sep-90,MA,762-628-3261,Platinum,29,88210615,Driver error,05/29/2017,Auto,No,Material only,$2940,1,No,Massachusetts,NorthEast,New England
83080037,Male,16-Jun-82,MA,965-968-1539,Silver,37,63446024,Driver error,01/13/2018,Auto,Unknown,Injury only,$17250,1,No,Massachusetts,NorthEast,New England
69204774,Male,18-Jun-60,MA,613-746-6123,Platinum,59,10852541,Other causes,05/01/2018,Auto,No,Material only,$2265.5,1,Yes,Massachusetts,NorthEast,New England
46995469,Male,23-Aug-73,MA,592-471-5829,Platinum,46,91324151,Driver error,08/24/2017,Auto,No,Material only,$2520,1,No,Massachusetts,NorthEast,New England
42098367,Female,27-Oct-74,MA,278-485-6849,Gold,44,16286241,Other causes,10/09/2018,Auto,Unknown,Material and injury,$24621.5,1,Yes,Massachusetts,NorthEast,New England
67335009,Female,26-Feb-83,MA,732-284-9752,Platinum,36,45469731,Other causes,04/18/2017,Auto,Yes,Material and injury,$20610,1,No,Massachusetts,NorthEast,New England
92400577,Male,14-May-71,MA,625-823-4875,Silver,48,58673943,Other causes,06/23/2018,Auto,No,Material only,$2277,1,Yes,Massachusetts,NorthEast,New England
55401227,Male,18-Aug-91,MA,143-594-1839,Gold,28,73781214,Natural causes,10/31/2017,Auto,Unknown,Material only,$1190,1,No,Massachusetts,NorthEast,New England
93455439,Female,20-Feb-72,MA,423-423-9561,Gold,47,94747735,Natural causes,04/24/2018,Home,No,Material only,$2219.5,1,Yes,Massachusetts,NorthEast,New England
86820732,Female,25-Apr-66,MA,952-123-3526,Gold,53,16259239,Natural causes,08/24/2017,Auto,Unknown,Material only,$1090,1,No,Massachusetts,NorthEast,New England
12499211,Female,15-Dec-68,MA,851-792-1325,Gold,50,49457139,Other causes,08/16/2018,Auto,No,Material only,$3139.5,1,Yes,Massachusetts,NorthEast,New England
75483302,Female,19-Jun-82,MA,517-792-6423,Platinum,37,42731329,Natural causes,04/10/2018,Auto,No,Material only,$1770,5,No,Massachusetts,NorthEast,New England
91002298,Male,09-Apr-98,MA,349-124-3976,Gold,21,99300549,Natural causes,04/05/2017,Auto,No,Injury only,$34010,1,No,Massachusetts,NorthEast,New England
19269962,Male,13-May-77,NV,956-871-8691,Gold,42,22890252,Crime,01/13/2018,Auto,No,Material only,$2680,1,No,Nevada,West,Mountain
19269962,Male,13-May-77,NV,956-871-8691,Gold,42,39219616,Other causes,09/26/2018,Auto,No,Material only,$2240,2,No,Nevada,West,Mountain
88277241,Male,27-Apr-76,NV,684-482-6745,Platinum,43,33643946,Other causes,07/08/2017,Auto,Unknown,Injury only,$17664,1,Yes,Nevada,West,Mountain
17682060,Female,21-Nov-74,NV,186-195-3465,Gold,44,49735712,Crime,10/30/2018,Home,Unknown,Material and injury,$17020,1,No,Nevada,West,Mountain
40480522,Female,30-May-84,NV,739-259-6835,Gold,35,52377605,Driver error,10/30/2018,Auto,Unknown,Material and injury,$26310,1,No,Nevada,West,Mountain
98180346,Male,16-Feb-92,NV,685-872-4789,Platinum,27,172149,Other causes,06/04/2017,Auto,No,Material only,$2810,1,No,Nevada,West,Mountain
42439009,Female,17-Sep-76,NV,591-218-5973,Gold,43,80529502,Driver error,03/01/2018,Auto,Unknown,Injury only,$28950,1,No,Nevada,West,Mountain
24112592,Male,11-Jun-80,NV,916-185-5697,Platinum,39,18497939,Other driver error,03/28/2018,Auto,No,Material only,$2130,1,No,Nevada,West,Mountain
84514444,Female,26-Jun-82,NV,712-156-7298,Platinum,37,22476290,Other causes,07/08/2017,Auto,No,Injury only,$30840,5,No,Nevada,West,Mountain
13275896,Male,18-Feb-69,NV,659-459-7463,Platinum,50,38645590,Natural causes,08/04/2017,Auto,No,Material and injury,$23450,1,No,Nevada,West,Mountain
91135917,Male,15-Aug-86,NV,697-129-2549,Platinum,33,81102722,Other driver error,09/12/2018,Auto,No,Material only,$2710,1,No,Nevada,West,Mountain
96931053,Female,26-Jan-97,NV,958-657-4621,Gold,22,32944599,Other causes,06/23/2018,Home,Yes,Injury only,$38120,1,No,Nevada,West,Mountain
86985239,Male,04-Sep-69,NV,194-354-9283,Gold,50,49758082,Driver error,06/18/2017,Auto,No,Material and injury,$40880,1,No,Nevada,West,Mountain
8201624,Female,11-Nov-80,NV,761-527-7361,Platinum,38,2248378,Natural causes,05/22/2017,Auto,No,Material only,$2932.5,4,Yes,Nevada,West,Mountain
41093135,Female,13-Mar-82,NV,273-769-6917,Gold,37,94983660,Driver error,03/08/2018,Auto,Unknown,Material and injury,$29480,1,No,Nevada,West,Mountain
53539195,Male,02-Oct-89,NV,914-342-8239,Gold,30,2432399,Other causes,12/24/2017,Home,No,Material only,$2480,1,No,Nevada,West,Mountain
53539195,Male,02-Oct-89,NV,914-342-8239,Gold,30,41779510,Driver error,10/03/2018,Home,No,Injury only,$25040,1,No,Nevada,West,Mountain
6563653,Male,02-Mar-76,NV,257-579-6281,Platinum,43,24499029,Other causes,06/23/2018,Auto,Unknown,Material and injury,$21530,2,No,Nevada,West,Mountain
9959859,Male,18-Nov-70,NV,265-456-8296,Gold,48,68477126,Crime,04/12/2017,Auto,No,Material only,$3105,3,Yes,Nevada,West,Mountain
15965441,Female,26-May-74,NV,327-934-6843,Silver,45,74826240,Driver error,01/06/2018,Auto,No,Material only,$2120,1,No,Nevada,West,Mountain
62861487,Male,09-Aug-87,NV,851-758-3157,Gold,32,39476021,Other causes,10/23/2018,Auto,Yes,Injury only,$19340,1,No,Nevada,West,Mountain
77765211,Male,08-Oct-81,NV,754-754-6471,Silver,37,94540900,Driver error,05/01/2018,Home,No,Material only,$2580,1,No,Nevada,West,Mountain
48477164,Female,20-Oct-76,NV,572-493-8516,Silver,42,88815908,Driver error,09/07/2017,Home,Unknown,Material and injury,$48150.5,4,Yes,Nevada,West,Mountain
86886743,Female,06-Oct-66,NV,823-732-3156,Platinum,53,84492004,Other causes,06/04/2017,Home,No,Injury only,$16300,1,No,Nevada,West,Mountain
84080228,Male,10-Nov-69,NV,652-429-1295,Silver,49,92320208,Natural causes,04/12/2017,Auto,Yes,Material and injury,$23483,4,Yes,Nevada,West,Mountain
46850495,Male,21-Aug-62,NV,761-193-2346,Platinum,57,72025178,Other causes,11/27/2017,Auto,Yes,Material only,$2173.5,1,Yes,Nevada,West,Mountain
21831191,Male,17-May-77,NH,419-712-8513,Gold,42,24050443,Other driver error,10/04/2017,Auto,No,Injury only,$38306.5,3,Yes,New Hampshire,NorthEast,New England
21831191,Male,17-May-77,NH,419-712-8513,Gold,42,91475471,Driver error,02/09/2018,Auto,Unknown,Material and injury,$36810,1,No,New Hampshire,NorthEast,New England
51583214,Male,31-Oct-99,NH,743-486-5264,Platinum,19,28564401,Other driver error,12/10/2017,Auto,Unknown,Material and injury,$16690,1,No,New Hampshire,NorthEast,New England
75252854,Male,30-Aug-95,NH,542-927-5413,Gold,24,14836805,Other driver error,02/23/2017,Auto,Yes,Injury only,$32630,1,No,New Hampshire,NorthEast,New England
65950591,Male,25-Jan-69,NH,543-543-2549,Silver,50,67042203,Driver error,01/14/2017,Auto,No,Material only,$2970,1,No,New Hampshire,NorthEast,New England
26965990,Female,14-Dec-98,NH,823-634-8723,Platinum,20,2262550,Other causes,02/23/2017,Auto,Unknown,Material only,$2310,1,No,New Hampshire,NorthEast,New England
77219712,Female,05-Aug-99,NH,649-592-8793,Platinum,20,61374372,Other causes,01/01/2017,Auto,No,Material and injury,$20200,1,No,New Hampshire,NorthEast,New England
8150738,Female,06-Dec-87,NH,842-127-7916,Platinum,31,72207767,Natural causes,05/01/2018,Auto,Unknown,Material only,$2210,1,No,New Hampshire,NorthEast,New England
42345842,Female,21-Jan-75,NH,795-476-5347,Gold,44,6794881,Other causes,12/24/2017,Auto,Unknown,Material only,$1150,1,Yes,New Hampshire,NorthEast,New England
69039320,Female,16-Sep-75,NH,216-854-4563,Platinum,44,25993027,Driver error,06/03/2018,Auto,No,Material only,$1780,1,No,New Hampshire,NorthEast,New England
98341654,Male,16-Dec-97,NH,375-624-6749,Platinum,21,84019240,Crime,12/03/2017,Auto,Unknown,Material only,$2370,1,No,New Hampshire,NorthEast,New England
82034436,Female,10-Jun-73,NH,612-831-3179,Gold,46,76743826,Other causes,12/24/2017,Auto,No,Injury only,$37630,1,No,New Hampshire,NorthEast,New England
15000907,Male,27-Jul-64,NH,658-953-7692,Silver,55,63191767,Driver error,07/08/2017,Auto,No,Material only,$2340,3,No,New Hampshire,NorthEast,New England
35459428,Male,06-Nov-91,NH,642-462-7695,Silver,27,90369587,Driver error,03/09/2017,Auto,No,Injury only,$32040,6,No,New Hampshire,NorthEast,New England
24769711,Male,04-Aug-66,NH,159-574-8794,Silver,53,40794950,Driver error,02/10/2017,Auto,Yes,Material and injury,$20380,2,No,New Hampshire,NorthEast,New England
40801256,Male,13-Aug-86,NH,486-258-3256,Gold,33,25730111,Driver error,02/23/2017,Auto,Yes,Material and injury,$26250,1,No,New Hampshire,NorthEast,New England
80002521,Male,19-Aug-77,NH,178-723-8945,Platinum,42,66931197,Natural causes,05/15/2017,Auto,No,Material only,$1900,3,No,New Hampshire,NorthEast,New England
83135621,Male,22-Feb-77,NH,986-541-8762,Platinum,42,65984723,Other driver error,08/18/2017,Auto,No,Material only,$1240,1,No,New Hampshire,NorthEast,New England
18401412,Male,02-Mar-99,AR,752-398-2914,Gold,20,12878692,Driver error,01/13/2018,Auto,No,Material only,$1730,4,No,Arkansas,South,West South Central
13233814,Female,01-Jun-62,AR,583-753-8415,Platinum,57,4821698,Other causes,07/08/2017,Auto,Unknown,Material and injury,$17230,1,No,Arkansas,South,West South Central
92889077,Female,08-Mar-63,AR,975-548-7142,Gold,56,57560277,Natural causes,03/08/2018,Home,No,Material only,$1771,5,Yes,Arkansas,South,West South Central
72701589,Female,23-Aug-94,AR,745-968-1753,Silver,25,57237955,Driver error,07/20/2018,Auto,No,Material only,$1970,1,No,Arkansas,South,West South Central
57959733,Female,31-Dec-67,AR,689-628-5247,Platinum,51,94870378,Other driver error,07/22/2017,Auto,No,Material only,$2530,3,No,Arkansas,South,West South Central
22856223,Female,07-Aug-63,AR,728-953-8257,Platinum,56,82692173,Other causes,04/12/2017,Auto,No,Material and injury,$40660,1,No,Arkansas,South,West South Central
55535045,Male,11-Aug-94,AR,164-539-3948,Gold,25,95437929,Driver error,04/05/2017,Auto,No,Material only,$1110,1,No,Arkansas,South,West South Central
15557396,Male,03-Nov-75,AR,915-247-7815,Gold,43,50921792,Other causes,10/17/2017,Auto,Yes,Material and injury,$20570,3,No,Arkansas,South,West South Central
69010101,Female,23-Oct-71,AR,825-591-5293,Platinum,47,24709692,Natural causes,04/25/2017,Auto,Unknown,Material only,$3427,1,Yes,Arkansas,South,West South Central
79440308,Female,11-Mar-97,AR,623-328-4615,Gold,22,43196799,Other causes,05/22/2017,Auto,Unknown,Material only,$1620,1,No,Arkansas,South,West South Central
86621072,Female,17-Sep-67,AR,194-254-6572,Platinum,52,16468239,Other causes,07/20/2018,Auto,No,Material only,$1173,1,Yes,Arkansas,South,West South Central
83882449,Male,31-Jan-92,AR,361-389-8923,Platinum,27,49124611,Driver error,09/20/2017,Home,Yes,Material only,$1644.5,1,Yes,Arkansas,South,West South Central
55836042,Male,17-May-83,AR,687-713-6528,Silver,36,64046224,Driver error,03/08/2018,Home,No,Material only,$1863,1,Yes,Arkansas,South,West South Central
19409471,Male,07-Nov-63,AR,215-978-4689,Silver,55,2434059,Other driver error,06/18/2017,Auto,No,Material only,$1550,1,No,Arkansas,South,West South Central
47437882,Male,04-Jan-88,AR,819-543-1365,Platinum,31,6313876,Other driver error,06/25/2017,Auto,Unknown,Material and injury,$27830,2,No,Arkansas,South,West South Central
48477566,Female,22-Oct-92,AR,641-298-6278,Platinum,26,77152566,Other driver error,03/22/2017,Auto,No,Material only,$2980,1,No,Arkansas,South,West South Central
6540281,Male,08-Feb-93,AR,196-527-8275,Silver,26,19454050,Other causes,01/13/2018,Auto,No,Material only,$2120,1,No,Arkansas,South,West South Central
85983291,Female,19-Jun-62,AR,715-829-4859,Gold,57,74280541,Other causes,05/07/2018,Auto,No,Material only,$1518,3,Yes,Arkansas,South,West South Central
30060683,Female,02-Jul-83,AR,549-267-4197,Gold,36,57073975,Other causes,01/21/2017,Auto,No,Material only,$2160,1,No,Arkansas,South,West South Central
5061178,Female,14-Oct-72,AR,532-216-1635,Silver,46,80180191,Other driver error,07/08/2017,Auto,No,Material and injury,$19100,1,No,Arkansas,South,West South Central
16717085,Male,11-Dec-84,AR,172-426-6187,Gold,34,66768314,Other causes,06/11/2017,Auto,No,Material only,$2740,2,No,Arkansas,South,West South Central
77116501,Female,04-Apr-68,AR,915-934-5617,Platinum,51,32759962,Other driver error,09/27/2017,Auto,Unknown,Injury only,$20490,7,No,Arkansas,South,West South Central
